country;y_pred;y_proba;target_date;runtime;version;source
eire;3476.1549999999997;;2018-08-15;000:00:30;0.4;test
all;183087.07360000006;;2017-11-29;000:00:29;0.4;prod
all;183087.07360000006;;2017-11-29;000:00:28;0.4;prod
all;183087.07360000006;;2017-11-29;000:00:28;0.4;prod
all;183087.07360000006;;2017-11-29;000:00:29;0.4;prod
all;183087.07360000006;;2017-11-29;000:00:29;0.4;prod
all;183087.07360000006;;2017-11-29;000:00:29;0.4;prod
all;175396.22479999997;;2017-11-30;000:00:29;0.4;prod
all;161768.12246666665;;2017-12-01;000:00:29;0.4;prod
all;148709.01933333333;;2017-12-02;000:00:29;0.4;prod
all;148918.33533333335;;2017-12-03;000:00:29;0.4;prod
all;146629.381;;2017-12-04;000:00:29;0.4;prod
all;134086.09433333337;;2017-12-05;000:00:29;0.4;prod
all;126827.61740000003;;2017-12-06;000:00:29;0.4;prod
all;112386.20466666666;;2017-12-07;000:00:29;0.4;prod
all;93573.12806666666;;2017-12-15;000:00:28;0.4;prod
all;166957.71620000002;;2018-01-15;000:00:28;0.4;prod
all;188220.7639333334;;2018-02-15;000:00:30;0.4;prod
all;230465.0642666667;;2018-03-15;000:00:29;0.4;prod
all;131089.21760000003;;2018-04-15;000:00:30;0.4;prod
all;194841.44666666663;;2018-05-15;000:00:29;0.4;prod
all;178938.96466666667;;2018-06-15;000:00:29;0.4;prod
all;102982.4428;;2018-07-15;000:00:30;0.4;prod
all;182011.33900000004;;2018-08-15;000:00:29;0.4;prod
all;319085.1813333333;;2018-09-15;000:00:29;0.4;prod
all;237373.15580000004;;2018-10-15;000:00:28;0.4;prod
all;519253.38813333336;;2018-11-15;000:00:28;0.4;prod
all;130694.486;;2018-12-15;000:00:27;0.4;prod
all;134759.5860666666;;2019-01-15;000:00:28;0.4;prod
all;161286.14266666665;;2019-02-15;000:00:29;0.4;prod
all;173762.37926666668;;2019-03-15;000:00:28;0.4;prod
all;167648.62420000002;;2019-04-15;000:00:28;0.4;prod
all;183024.644;;2019-05-15;000:00:28;0.4;prod
all;93573.12806666666;;2017-12-15;000:00:31;0.4;prod
all;93573.12806666666;;2017-12-15;000:01:03;0.4;prod
all;93573.12806666666;;2017-12-15;000:01:01;0.4;prod
all;166957.71620000002;;2018-01-15;000:00:30;0.4;prod
all;188220.7639333334;;2018-02-15;000:00:55;0.4;prod
all;93573.12806666666;;2017-12-15;000:00:53;0.4;prod
all;166957.71620000002;;2018-01-15;000:00:28;0.4;prod
all;188220.7639333334;;2018-02-15;000:00:28;0.4;prod
all;230465.0642666667;;2018-03-15;000:00:28;0.4;prod
all;131089.21760000003;;2018-04-15;000:00:28;0.4;prod
all;194841.44666666663;;2018-05-15;000:00:28;0.4;prod
all;178938.96466666667;;2018-06-15;000:00:28;0.4;prod
all;102982.4428;;2018-07-15;000:00:28;0.4;prod
all;182011.33900000004;;2018-08-15;000:00:28;0.4;prod
all;319085.1813333333;;2018-09-15;000:00:28;0.4;prod
all;237373.15580000004;;2018-10-15;000:00:28;0.4;prod
all;519253.38813333336;;2018-11-15;000:00:29;0.4;prod
all;130694.486;;2018-12-15;000:00:29;0.4;prod
all;134759.5860666666;;2019-01-15;000:00:28;0.4;prod
all;161286.14266666665;;2019-02-15;000:00:28;0.4;prod
all;173762.37926666668;;2019-03-15;000:00:28;0.4;prod
all;167648.62420000002;;2019-04-15;000:00:28;0.4;prod
all;183024.644;;2019-05-15;000:00:29;0.4;prod
all;183348.57200000001;;2018-01-05;000:00:25;0.4;prod
all;183348.57200000001;;2018-01-05;000:00:24;0.4;prod
eire;4765.3535999999995;;2018-08-15;000:00:23;0.4;test
united_kingdom;99448.28535999998;;2017-12-12;000:00:24;0.4;prod
united_kingdom;151603.52205;;2017-12-12;000:00:26;0.4;test
united_kingdom;141386.27040000004;;2017-12-03;000:00:24;0.4;test
all;152920.74575999996;;2017-12-03;000:00:24;0.4;test
united_kingdom;98065.17592000001;;2017-12-12;000:00:24;0.4;test
united_kingdom;189148.66133333332;;2017-12-12;000:00:26;0.4;test
eire;3044.0260000000003;;2018-08-15;000:00:23;0.4;test
united_kingdom;152813.5748;;2017-12-03;000:00:23;0.4;test
all;145701.836;;2017-12-03;000:00:23;0.4;test
